iter	custom_metric	RMSE
608	113490.3108	1699.497285
609	113646.9616	1699.185098
610	113612.8932	1699.048226
611	113603.9924	1698.920754
612	113434.8569	1698.787523
613	113441.5421	1698.555636
614	113442.5461	1698.548746
615	113440.3292	1698.313835
616	113458.2621	1698.084658
617	113455.2471	1697.871963
618	113454.7248	1697.627828
619	113176.7707	1697.281003
620	113238.6673	1696.944229
621	113242.5609	1696.861418
622	113215.7286	1696.626004
623	113300.8799	1696.324773
624	113340.3818	1696.139101
625	113242.2508	1695.928632
626	113270.9942	1695.721125
627	113216.8084	1695.432463
628	113242.928	1695.249577
629	113244.6881	1694.943572
630	112555.9672	1694.719799
631	112555.6573	1694.713672
632	112543.3457	1694.576441
633	112535.9197	1694.52691
634	112602.8985	1694.251798
635	112646.9287	1694.052413
636	112444.9803	1693.827385
637	112317.2432	1693.637854
638	112320.9202	1693.504745
639	112373.8343	1693.321946
640	112371.9349	1693.314518
641	112201.4922	1693.107126
642	112202.5672	1692.970179
643	112197.3966	1692.814816
644	112208.7626	1692.565656
645	112222.1444	1692.33297
646	112235.7948	1692.145328
647	112218.7903	1691.998353
648	112209.5677	1691.860623
649	112212.0821	1691.64684
650	112235.6403	1691.420141
651	112304.6501	1691.289215
652	112334.0513	1691.16659
653	112324.1539	1691.064078
654	112311.0401	1690.825604
655	112319.1003	1690.6691
656	112082.3515	1690.453261
657	112175.6885	1690.20013
658	112198.33	1690.054068
659	112217.2378	1689.801663
660	112177.2527	1689.510759
661	112200.1903	1689.257736
662	112152.1347	1688.945603
663	111954.2896	1688.733847
664	112099.0123	1688.422083
665	112095.9865	1688.221898
666	112093.5966	1688.138909
667	112088.5669	1687.993645
668	112128.3791	1687.780915
669	112131.7994	1687.602636
670	112134.2385	1687.505723
671	112147.1906	1687.347215
672	112182.8319	1687.144021
673	112211.7421	1687.010416
674	112215.4606	1686.948935
675	112226.8161	1686.820084
676	112197.6297	1686.646229
677	112198.2642	1686.608243
678	112203.6505	1686.529235
679	112204.7289	1686.450416
680	112191.0258	1686.288077
681	112212.9173	1686.026625
682	112202.9517	1685.903584
683	112223.5456	1685.704968
684	112199.3469	1685.521938
685	112073.4871	1685.440683
686	112167.0262	1685.180675
687	112150.8292	1684.978386
688	112179.6907	1684.678597
689	112156.5376	1684.516516
690	112137.9067	1684.309396
691	111242.8411	1684.155578
692	111247.4704	1683.909439
693	111264.436	1683.782704
694	111271.7518	1683.734589
695	111233.0825	1683.527054
696	111231.243	1683.384672
697	111154.9605	1683.153191
698	111176.051	1682.971181
699	111179.6643	1682.646705
700	111016.1499	1682.431175
701	110843.6242	1682.269581
702	110722.3845	1682.023991
703	110713.4066	1681.923804
704	110839.9418	1681.592455
705	110839.3346	1681.585547
706	110865.6013	1681.353654
707	110904.6483	1681.252819
708	110896.2369	1681.03566
709	110897.0884	1680.780821
710	110881.4738	1680.59082
711	110860.3372	1680.360168
712	110949.6822	1680.201397
713	111199.2491	1680.005301
714	111110.4687	1679.640987
715	111070.6169	1679.404047
716	111071.8125	1679.104502
717	111272.727	1678.871883
718	111273.9402	1678.80627
719	111303.656	1678.521717
720	111337.1253	1678.274431
721	111275.1226	1678.060247
722	111288.6287	1677.847057
723	111290.6317	1677.837618
724	111272.6711	1677.610205
725	111226.0991	1677.456848
726	111211.8341	1677.322623
727	111239.8333	1677.159706
728	111153.9471	1676.802746
729	111177.129	1676.486921
730	111285.267	1676.342652
731	111293.9944	1676.136683
732	111088.9065	1675.858606
733	111104.4722	1675.605478
734	111102.5897	1675.456212
735	111047.3414	1675.325146
736	111030.7666	1675.298486
737	111040.4297	1675.141338
738	111038.2511	1674.880622
739	111036.4257	1674.806943
740	111019.1941	1674.61553
741	111045.9622	1674.445335
742	111052.3581	1674.294443
743	111160.2805	1674.048275
744	111162.4265	1673.895944
745	111338.2761	1673.706627
746	111101.2515	1673.52505
747	110926.2332	1673.290167
748	110926.0382	1673.285582
749	110870.7789	1672.975055
750	110905.7254	1672.820484
751	110924.0225	1672.677135
752	110923.9844	1672.672803
753	110994.9902	1672.512353
754	110978.6188	1672.374471
755	110929.352	1672.171771
756	110855.1951	1671.950314
757	110833.0006	1671.827278
758	110971.3115	1671.493955
759	110988.5389	1671.335821
760	110965.6373	1671.13101
761	110955.1744	1670.895234
762	110967.4054	1670.581777
763	110968.0021	1670.497951
764	111116.1169	1670.339753
765	111143.713	1669.949282
766	110886.0771	1669.723321
767	110895.1583	1669.563534
768	110891.6101	1669.470239
769	110875.77	1669.327543
770	110860.2773	1669.207831
771	110958.5565	1668.887482
772	110965.8291	1668.769285
773	110984.524	1668.58313
774	110938.2688	1668.306319
775	110939.845	1668.186582
776	110607.4659	1667.93069
777	110609.5695	1667.74548
778	110613.247	1667.451666
779	110618.0042	1667.226309
780	110643.5027	1666.923304
781	110711.4232	1666.745924
782	110718.4679	1666.535435
783	110775.5019	1666.378208
784	110781.3413	1666.166169
785	110776.547	1666.082442
786	110771.9377	1665.998593
787	110757.0556	1665.816572
788	110753.1505	1665.654016
789	110739.061	1665.298151
790	110710.811	1665.134315
791	110692.4163	1664.991994
792	110693.4292	1664.770689
793	110697.659	1664.557037
794	110661.7116	1664.443686
795	110430.6227	1664.324538
796	110431.0247	1664.198442
797	110615.4861	1664.06103
798	110519.0146	1663.861938
799	110545.8964	1663.640099
800	110550.5244	1663.451773
801	110560.0991	1663.328651
802	110564.3368	1663.083413
803	110546.3117	1663.004649
804	110514.4787	1662.739005
805	110518.2664	1662.71767
806	110518.6876	1662.585429
807	110520.3111	1662.496194
808	110521.8929	1662.465179
809	110533.1111	1662.234175
810	110535.5841	1662.035892
811	110546.3512	1661.841178
812	110584.0207	1661.674827
813	110583.8418	1661.587666
814	110502.9489	1661.491959
815	110504.3996	1661.221272
816	110501.8863	1661.080042
817	110501.3913	1661.075036
818	110541.4003	1660.941855
819	110524.8291	1660.699156
820	110563.688	1660.570741
821	110556.8075	1660.453548
822	110602.9091	1660.325771
823	110579.738	1660.18781
824	110574.2218	1659.992539
825	110583.1573	1659.776897
826	110594.4647	1659.659773
827	110603.0919	1659.525861
828	110602.4539	1659.458294
829	110522.5562	1659.219947
830	110542.0837	1659.109887
831	110558.2523	1658.902234
832	110559.7575	1658.860216
833	110599.1695	1658.750288
834	110588.1254	1658.458551
835	110599.274	1658.226819
836	110619.086	1657.906857
837	110640.1898	1657.671118
838	110637.7006	1657.556109
839	110602.8422	1657.376697
840	110595.7726	1657.236201
841	110591.8015	1657.146247
842	110576.8047	1657.070157
843	110598.2777	1656.988698
844	110475.2917	1656.833414
845	110368.3463	1656.701435
846	110367.4157	1656.612856
847	110385.86	1656.375324
848	110402.4936	1656.289077
849	110870.3825	1656.073328
850	110851.3084	1655.987075
851	110868.7414	1655.842271
852	110882.616	1655.707147
853	110926.6352	1655.49521
854	110934.1598	1655.375649
855	110848.8236	1655.250268
856	110822.2184	1655.131709
857	110134.755	1654.951509
858	110114.8321	1654.875105
859	110124.8238	1654.717179
860	110043.5014	1654.530287
861	109748.8275	1654.33068
862	109802.32	1654.163879
863	109775.6134	1654.094715
864	109802.2361	1653.971783
865	109800.0115	1653.864762
866	109804.5435	1653.752092
867	109720.8381	1653.575004
868	109705.4568	1653.462395
869	109703.1605	1653.376656
870	109904.3685	1653.192782
871	109927.2442	1652.901114
872	109937.6326	1652.781756
873	109933.5407	1652.667703
874	109967.8914	1652.401666
875	109958.0792	1652.249841
876	110130.0616	1652.085675
877	110140.9657	1651.852567
878	110203.3302	1651.618132
879	110275.5401	1651.449916
880	110220.813	1651.243972
881	110235.6389	1651.031412
882	110237.2883	1650.944292
883	110236.7789	1650.836395
884	110188.2334	1650.608478
885	110191.705	1650.490019
886	110207.4389	1650.34774
887	110182.5789	1650.258565
888	109604.6807	1650.086577
889	109638.6221	1649.923415
890	109644.6889	1649.846313
891	109661.1127	1649.63172
892	109644.2639	1649.499854
893	109643.7266	1649.449645
894	109639.6809	1649.319856
895	109633.8544	1649.162856
896	109608.8725	1649.027852
897	109448.3362	1648.854522
898	109431.2632	1648.719428
899	109423.7211	1648.519356
900	109433.625	1648.360808
901	109431.9463	1648.103885
902	109434.0569	1647.970568
903	109425.964	1647.814856
904	109428.3483	1647.552282
905	109427.5965	1647.463095
906	109422.3176	1647.390755
907	109422.1105	1647.383857
908	109426.5245	1647.125408
909	109660.0085	1646.938376
910	109599.535	1646.801508
911	109631.2053	1646.669937
912	109639.3481	1646.451993
913	109686.5187	1646.329162
914	109782.8127	1646.18714
915	109782.6305	1646.180876
916	109540.3342	1646.068328
917	109493.2833	1645.920505
918	109488.6589	1645.777892
919	109597.4035	1645.515923
920	109578.7623	1645.359726
921	109611.3053	1645.177134
922	109619.9462	1645.001327
923	109628.8342	1644.862252
924	109646.1248	1644.660319
925	109436.476	1644.448717
926	109437.0071	1644.306099
927	109425.4607	1644.074633
928	109419.5463	1643.869164
929	109459.4074	1643.612589
930	109484.4993	1643.418831
931	109531.4354	1643.222445
932	109533.5566	1643.114464
933	109535.3629	1643.021677
934	109511.1226	1642.836807
935	109489.3101	1642.61063
936	109492.3401	1642.354817
937	109504.149	1642.212008
938	109503.8019	1642.206216
939	109534.7609	1642.067496
940	109536.0355	1642.031677
941	109539.914	1641.916903
942	109542.6416	1641.63691
943	109558.6519	1641.497455
944	109566.7601	1641.418541
945	109545.0516	1641.331219
946	109546.3459	1641.237258
947	109540.2689	1641.066639
948	109539.8928	1640.899245
949	109532.739	1640.814314
950	109546.6934	1640.654797
951	109548.0564	1640.586064
952	109504.2258	1640.420915
953	109508.3396	1640.302349
954	109496.3579	1640.17219
955	109454.2213	1640.102354
956	109431.8963	1639.888694
957	109504.2737	1639.576196
958	109507.506	1639.339308
959	109488.4839	1639.147923
960	109485.6132	1639.077868
961	109507.5682	1638.915817
962	109508.1817	1638.864683
963	109433.0807	1638.704287
964	109433.556	1638.525178
965	109434.2192	1638.4918
966	109458.5945	1638.334035
967	109448.8439	1638.208698
968	109448.8396	1638.201474
969	109496.9761	1638.113382
970	109496.8623	1638.109291
971	109477.3082	1638.005072
972	109506.0487	1637.79463
973	109362.4338	1637.582208
974	109375.8708	1637.401552
975	108840.2327	1637.219745
976	108803.2498	1637.024518
977	108805.5517	1636.904703
978	108762.3049	1636.743965
979	108802.5308	1636.581413
980	108795.5288	1636.493856
981	108878.007	1636.312079
982	108883.8203	1636.187672
983	108878.6563	1636.072404
984	108865.1424	1635.933283
985	108885.7155	1635.792539
986	108876.994	1635.685289
987	108863.6325	1635.422646
988	108868.3759	1635.345653
989	108803.6316	1635.170908
990	108779.5349	1634.970669
991	108778.8501	1634.870955
992	108903.5439	1634.65613
993	108918.9743	1634.562995
994	108962.6034	1634.290966
995	109101.1482	1634.140439
996	109092.3163	1633.960169
997	109053.7227	1633.834172
998	109054.4093	1633.686011
999	109001.3537	1633.531365
